format	order	method	comp.ratio	type
FASTA	d	MFCompress	5.4	ref.free
FASTA	c	DELIMINATE	5.1	ref.free
FASTA	b	LZMA	4.5	ref.free
FASTA	a	gzip	3.5	ref.free
FASTQ	f	SCALCE	5.9	ref.free
FASTQ	e	Fqzcomp	4.9	ref.free
FASTQ	d	Quip	4.8	ref.free
FASTQ	c	DSRC	4.7	ref.free
FASTQ	b	LZMA	4.5	ref.free
FASTQ	a	gzip	3.7	ref.free
BAM	d	Deez	1.7	ref.free
BAM	c	Quip	1.4	ref.free
BAM	b	gzip	1.0	ref.free
BAM	a	LZMA	1.0	ref.free
.	d	iDoComp	27.8	ref.based
.	b	GReEn	16.1	ref.based
.	e	GeCo	33.4	ref.based
.	c	GDC~2	26.9	ref.based
.	a	ERGC	4.6	ref.based
